Afghanistan,UN member state,None
Albania – Republic of Albania,UN member state,None
Algeria – People's Democratic Republic of Algeria,UN member state,None
Andorra – Principality of Andorra,UN member state,None
Angola – Republic of Angola,UN member state,None
Antigua and Barbuda,UN member state,None
Argentina – Argentine Republic[i],UN member state,None
Armenia – Republic of Armenia,UN member state,Not recognised by Pakistan.
Australia – Commonwealth of Australia,UN member state,None
Austria – Republic of Austria,UN member state,None
Azerbaijan – Republic of Azerbaijan[k],UN member state,None
"Bahamas, The – Commonwealth of The Bahamas[14]",UN member state,None
Bahrain – Kingdom of Bahrain,UN member state,None
Bangladesh – People's Republic of Bangladesh,UN member state,None
Barbados,UN member state,None
Belarus – Republic of Belarus,UN member state,None
Belgium – Kingdom of Belgium,UN member state,None
Belize,UN member state,None
Benin – Republic of Benin,UN member state,None
Bhutan – Kingdom of Bhutan,UN member state,None
Bolivia – Plurinational State of Bolivia,UN member state,None
Bosnia and Herzegovina,UN member state,None
Botswana – Republic of Botswana,UN member state,None
Brazil – Federative Republic of Brazil,UN member state,None
Brunei – Brunei Darussalam,UN member state,None
Bulgaria – Republic of Bulgaria,UN member state,None
Burkina Faso,UN member state,None
Burundi – Republic of Burundi,UN member state,None
Cambodia – Kingdom of Cambodia,UN member state,None
Cameroon – Republic of Cameroon,UN member state,None
Canada[l],UN member state,None
Cape Verde – Republic of Cabo Verde[m],UN member state,None
Central African Republic,UN member state,None
Chad – Republic of Chad,UN member state,None
Chile – Republic of Chile,UN member state,None
China – People's Republic of China[o],UN member state,Partially unrecognised. Claimed by the Republic of China
Colombia – Republic of Colombia,UN member state,None
Comoros – Union of the Comoros,UN member state,None
"Congo, Democratic Republic of the[s]",UN member state,None
"Congo, Republic of the[t]",UN member state,None
Costa Rica – Republic of Costa Rica,UN member state,None
Croatia – Republic of Croatia,UN member state,None
Cuba – Republic of Cuba,UN member state,None
Cyprus – Republic of Cyprus,UN member state,Not recognised by Turkey[19]
Czech Republic[u],UN member state,None
Denmark – Kingdom of Denmark,UN member state,None
Djibouti – Republic of Djibouti,UN member state,None
Dominica – Commonwealth of Dominica,UN member state,None
Dominican Republic,UN member state,None
East Timor – Democratic Republic of Timor-Leste[w],UN member state,None
Ecuador – Republic of Ecuador,UN member state,None
Egypt – Arab Republic of Egypt,UN member state,None
El Salvador – Republic of El Salvador,UN member state,None
Equatorial Guinea – Republic of Equatorial Guinea,UN member state,None
Eritrea – State of Eritrea,UN member state,None
Estonia – Republic of Estonia,UN member state,None
Eswatini – Kingdom of Eswatini[x],UN member state,None
Ethiopia – Federal Democratic Republic of Ethiopia,UN member state,None
Fiji – Republic of Fiji,UN member state,None
Finland – Republic of Finland,UN member state,None
France – French Republic,UN member state,None
Gabon – Gabonese Republic,UN member state,None
"Gambia, The – Republic of The Gambia[24]",UN member state,None
Georgia,UN member state,None
Germany – Federal Republic of Germany,UN member state,None
Ghana – Republic of Ghana,UN member state,None
Greece – Hellenic Republic,UN member state,None
Grenada,UN member state,None
Guatemala – Republic of Guatemala,UN member state,None
Guinea – Republic of Guinea[aa],UN member state,None
Guinea-Bissau – Republic of Guinea-Bissau,UN member state,None
Guyana – Co-operative Republic of Guyana,UN member state,None
Haiti – Republic of Haiti,UN member state,None
Honduras – Republic of Honduras,UN member state,None
Hungary,UN member state,None
Iceland[ab] – Republic of Iceland,UN member state,None
India – Republic of India,UN member state,None
Indonesia – Republic of Indonesia,UN member state,None
Iran – Islamic Republic of Iran,UN member state,None
Iraq – Republic of Iraq,UN member state,None
Ireland[ac],UN member state,None
Israel – State of Israel,UN member state,Partially unrecognised
Italy – Italian Republic,UN member state,None
Ivory Coast – Republic of Côte d'Ivoire[ad],UN member state,None
Jamaica,UN member state,None
Japan,UN member state,None
Jordan – Hashemite Kingdom of Jordan,UN member state,None
Kazakhstan – Republic of Kazakhstan,UN member state,None
Kenya – Republic of Kenya,UN member state,None
Kiribati – Republic of Kiribati,UN member state,None
Kuwait – State of Kuwait,UN member state,None
Kyrgyzstan – Kyrgyz Republic,UN member state,None
Laos – Lao People's Democratic Republic,UN member state,None
Latvia – Republic of Latvia,UN member state,None
Lebanon – Republic of Lebanon,UN member state,None
Lesotho – Kingdom of Lesotho,UN member state,None
Liberia – Republic of Liberia,UN member state,None
Libya – State of Libya,UN member state,None
Liechtenstein – Principality of Liechtenstein,UN member state,None
Lithuania – Republic of Lithuania,UN member state,None
Luxembourg – Grand Duchy of Luxembourg,UN member state,None
Madagascar – Republic of Madagascar,UN member state,None
Malawi – Republic of Malawi,UN member state,None
Malaysia,UN member state,None
Maldives – Republic of Maldives,UN member state,None
Mali – Republic of Mali,UN member state,None
Malta – Republic of Malta,UN member state,None
Marshall Islands – Republic of the Marshall Islands,UN member state,None
Mauritania – Islamic Republic of Mauritania,UN member state,None
Mauritius – Republic of Mauritius,UN member state,None
Mexico – United Mexican States,UN member state,None
"Micronesia, Federated States of",UN member state,None
Moldova – Republic of Moldova,UN member state,None
Monaco – Principality of Monaco,UN member state,None
Mongolia,UN member state,None
Montenegro,UN member state,None
Morocco – Kingdom of Morocco,UN member state,None
Mozambique – Republic of Mozambique,UN member state,None
Myanmar – Republic of the Union of Myanmar[ae],UN member state,None
Namibia – Republic of Namibia,UN member state,None
Nauru – Republic of Nauru,UN member state,None
Nepal – Federal Democratic Republic of Nepal,UN member state,None
Netherlands – Kingdom of the Netherlands,UN member state,None
New Zealand,UN member state,None
Nicaragua – Republic of Nicaragua,UN member state,None
Niger – Republic of the Niger,UN member state,None
Nigeria – Federal Republic of Nigeria,UN member state,None
North Korea – Democratic People's Republic of Korea,UN member state,Claimed by South Korea
North Macedonia – Republic of North Macedonia[ag],UN member state,None
Norway – Kingdom of Norway,UN member state,None
Oman – Sultanate of Oman,UN member state,None
Pakistan – Islamic Republic of Pakistan,UN member state,None
Palau – Republic of Palau,UN member state,None
Palestine – State of Palestine,UN General Assembly observer state; member of two UN specialized agencies,Partially unrecognised.
Panama – Republic of Panama,UN member state,None
Papua New Guinea – Independent State of Papua New Guinea,UN member state,None
Paraguay – Republic of Paraguay,UN member state,None
Peru – Republic of Peru,UN member state,None
Philippines – Republic of the Philippines,UN member state,None
Poland – Republic of Poland,UN member state,None
Portugal – Portuguese Republic,UN member state,None
Qatar – State of Qatar,UN member state,None
Romania,UN member state,None
Russia – Russian Federation,UN member state,None
Rwanda – Republic of Rwanda,UN member state,None
Saint Kitts and Nevis – Federation of Saint Christopher and Nevis,UN member state,None
Saint Lucia,UN member state,None
Saint Vincent and the Grenadines,UN member state,None
Samoa – Independent State of Samoa,UN member state,None
San Marino – Republic of San Marino,UN member state,None
São Tomé and Príncipe – Democratic Republic of São Tomé and Príncipe,UN member state,None
Saudi Arabia – Kingdom of Saudi Arabia,UN member state,None
Senegal – Republic of Senegal,UN member state,None
Serbia – Republic of Serbia,UN member state,None
Seychelles – Republic of Seychelles,UN member state,None
Sierra Leone – Republic of Sierra Leone,UN member state,None
Singapore – Republic of Singapore,UN member state,None
Slovakia – Slovak Republic,UN member state,None
Slovenia – Republic of Slovenia,UN member state,None
Solomon Islands,UN member state,None
Somalia – Federal Republic of Somalia,UN member state,None
South Africa – Republic of South Africa,UN member state,None
South Korea – Republic of Korea,UN member state,Claimed by North Korea
South Sudan – Republic of South Sudan,UN member state,None
Spain – Kingdom of Spain,UN member state,None
Sri Lanka – Democratic Socialist Republic of Sri Lanka[ai],UN member state,None
Sudan – Republic of the Sudan,UN member state,None
Suriname – Republic of Suriname,UN member state,None
Sweden – Kingdom of Sweden,UN member state,None
Switzerland – Swiss Confederation,UN member state,None
Syria – Syrian Arab Republic,UN member state,None
Tajikistan – Republic of Tajikistan,UN member state,None
Tanzania – United Republic of Tanzania,UN member state,None
Thailand – Kingdom of Thailand,UN member state,None
Togo – Togolese Republic,UN member state,None
Tonga – Kingdom of Tonga,UN member state,None
Trinidad and Tobago – Republic of Trinidad and Tobago,UN member state,None
Tunisia – Republic of Tunisia,UN member state,None
Turkey – Republic of Türkiye[aj],UN member state,None
Turkmenistan,UN member state,None
Tuvalu,UN member state,None
Uganda – Republic of Uganda,UN member state,None
Ukraine,UN member state,None
United Arab Emirates,UN member state,None
United Kingdom – United Kingdom of Great Britain and Northern Ireland,UN member state,None
United States – United States of America,UN member state,None
Uruguay – Oriental Republic of Uruguay,UN member state,None
Uzbekistan – Republic of Uzbekistan,UN member state,None
Vanuatu – Republic of Vanuatu,UN member state,None
Vatican City – Vatican City State,"UN General Assembly observer state under the designation of ""Holy See""; member of three UN specialized agencies",None
Venezuela – Bolivarian Republic of Venezuela,UN member state,None
Vietnam – Socialist Republic of Vietnam,UN member state,None
Yemen – Republic of Yemen,UN member state,None
Zambia – Republic of Zambia,UN member state,None
Zimbabwe – Republic of Zimbabwe,UN member state,None